PART NUMBER,DIFFERENCE,PLISN,SMR,NSN
"1554E2GY","SMR","AJCE, AFDP","PAFHH, PAFZZ","None, None"
"76675A22","SMR","AFGM, AFLF","PAFZZ, PAFFF","None, None"
"SNC-CH180","SMR","AGVD, AJQM","PAFZZ, PAFHH","None, None"
"93483A691","SMR","AEWX, AFEQ","PAFZZ, PAHZZ","None, None"
"0224493-1","SMR","AHRU, AHUB","PAFDD, PAFZZ","None, None"
"CLSS-032-2","SMR","AJGG, AJKM","PAHHH, PAHZZ","5310010673409, 5310010673409"
